2026-05-09 12:53:54  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.shriramlife.in/investor-relations]: HTTPError
2026-05-09 12:54:03  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.shriramlife.in/investor-relations]: HTTPError
2026-05-09 12:54:03  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Shriram Life Insurance
2026-05-09 12:54:04  INFO      scrapers.company_disclosure_scraper_v2 —   [16/23] Bharti AXA Life Insurance
2026-05-09 12:54:04  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.bhartiaxa.com/about-us/public-disclosure]: HTTPError
2026-05-09 12:54:06  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.bhartiaxa.com/about-us/public-disclosure]: HTTPError
2026-05-09 12:54:11  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.bhartiaxa.com/about-us/public-disclosure]: HTTPError
2026-05-09 12:54:11  INFO      scrapers.company_disclosure_scraper_v2 —     Found 0 PDF(s) on public-disclosure
2026-05-09 12:54:12  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Bharti AXA Life Insurance
2026-05-09 12:54:14  INFO      scrapers.company_disclosure_scraper_v2 —   [17/23] Reliance Nippon Life Insurance
2026-05-09 12:54:23  INFO      scrapers.company_disclosure_scraper_v2 —     Found 0 PDF(s) on public-disclosure
2026-05-09 12:54:25  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.reliancenipponlife.com/investor-relations]: HTTPError
2026-05-09 12:54:28  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.reliancenipponlife.com/investor-relations]: HTTPError
2026-05-09 12:54:33  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.reliancenipponlife.com/investor-relations]: HTTPError
2026-05-09 12:54:33  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Reliance Nippon Life Insurance
2026-05-09 12:54:35  INFO      scrapers.company_disclosure_scraper_v2 —   [18/23] Aviva Life Insurance
2026-05-09 12:54:37  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.avivaindia.com/public-disclosure]: HTTPError
